----
1196	2017-10-10 01:14:25.35808	Repository	A:UnitTestAdapter: Running test	T:11				Shutting down IndexingEngine.
1197	2017-10-10 01:14:25.35908	Repository	A:UnitTestAdapter: Running test	T:11				Repository has stopped. Running time: 0.00:00:00
>1198	2017-10-10 01:14:25.36212	Test	A:UnitTestAdapter: Running test	T:11				END test: TreeLock_CannotAcquire
>1199	2017-10-10 01:14:25.36513	Test	A:UnitTestAdapter: Running test	T:11				START test: TreeLock_TSQL_Underscore
1200	2017-10-10 01:14:25.36911	Repository	A:UnitTestAdapter: Running test	T:11				DataProvider configured: SenseNet.ContentRepository.Tests.Implementations.InMemoryDataProvider
1201	2017-10-10 01:14:25.36911	Repository	A:UnitTestAdapter: Running test	T:11				SearchEngine configured: SenseNet.ContentRepository.Tests.Implementations.InMemorySearchEngine
1202	2017-10-10 01:14:25.36911	Repository	A:UnitTestAdapter: Running test	T:11				SecurityDataProvider configured: SenseNet.Security.Data.MemoryDataProvider
1203	2017-10-10 01:14:25.36911	Repository	A:UnitTestAdapter: Running test	T:11				ElevatedModificationVisibilityRuleProvider configured: SenseNet.ContentRepository.Storage.ElevatedModificationVisibilityRule
1204	2017-10-10 01:14:25.36911	Repository	A:UnitTestAdapter: Running test	T:11				CacheProvider configured: SenseNet.ContentRepository.Tests.Implementations.EmptyCache
1205	2017-10-10 01:14:25.36911	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1206	2017-10-10 01:14:25.42125	Index	A:UnitTestAdapter: Running test	T:11	Op:235	Start		IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1207	2017-10-10 01:14:25.42125	Index	A:UnitTestAdapter: Running test	T:11	Op:235	End	00:00:00.000000	IAQ: InitializeFromIndex. LastIndexedActivityId: 0, LastDatabaseId: 0, TotalUnprocessed: 0
1208	2017-10-10 01:14:25.42225	System	A:UnitTestAdapter: Running test	T:11				Trace settings were updated. Enabled: ContentOperation, Index, IndexQueue, Query, Repository, System, Test, Event
1209	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Acquiring lock for /Root/A/BxB/C
1210	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11	Op:236	Start		TreeLock: [1] for [/Root/A/BxB/C]
1211	2017-10-10 01:14:25.42225	ContentOperation	A:UnitTestAdapter: Running test	T:11				TreeLock: Checking /Root/A/B_B
